Username,Condition.Number,Condition.Description,Stimuli.Cue,Stimuli.Answer,Stimuli.Shuffle,Stimuli.Stimuli.Notes,Procedure.Trial.Type,JOL.RT,Response.JOL,Response.RT.1,Response.Response,Response.Accuracy,trial_num
5e18762ae80b8e1495d584d7,1,Sans F A,WOMAN,lift,Study2,U,JOL,6011,44,6775,lift,100,38
5e18762ae80b8e1495d584d7,1,Sans F A,DONKEY,lush,Study1,U,JOL,7988,13,8631,lush,100,39
5e18762ae80b8e1495d584d7,1,Sans F A,POSITION,machine,Study2,U,JOL,6001,62,4032,,0,40
5e18762ae80b8e1495d584d7,1,Sans F A,JUSTICE,maroon,Study1,U,JOL,11689,32,12008,maroon,100,41
5e18762ae80b8e1495d584d7,1,Sans F A,PET,moon,Study1,U,JOL_SF,9240,29,5379,,0,42
5e18762ae80b8e1495d584d7,1,Sans F A,TEMPERATURE,morning,Study1,U,JOL,8405,55,6113,morning,100,43
5e18762ae80b8e1495d584d7,1,Sans F A,JELLY,naughty,Study2,U,JOL,15909,53,8070,,0,44
5e18762ae80b8e1495d584d7,1,Sans F A,ROSE,neglect,Study1,U,JOL,9960,17,5626,,0,45
5e18762ae80b8e1495d584d7,1,Sans F A,DESIRE,noise,Study2,U,JOL_SF,6696,4,8501,noise,100,46
5e18762ae80b8e1495d584d7,1,Sans F A,DESIRE,noise,Study2,U,JOL_SF,10603,30,8068,noise,100,47
5e18762ae80b8e1495d584d7,1,Sans F A,PUFF,number,Study2,U,JOL_SF,10027,24,6462,number,100,48
5e18762ae80b8e1495d584d7,1,Sans F A,MEAT,obtain,Study1,U,JOL,5770,7,4900,,0,49
5e18762ae80b8e1495d584d7,1,Sans F A,LAKE,opinion,Study2,U,JOL,4245,5,5673,,0,50
5e18762ae80b8e1495d584d7,1,Sans F A,BOTH,ounce,Study1,U,JOL_SF,9924,14,4670,,0,51
5e18762ae80b8e1495d584d7,1,Sans F A,TAX,owl,Study1,U,JOL_SF,11361,37,12837,,0,52
5e18762ae80b8e1495d584d7,1,Sans F A,HUNGRY,park,Study2,U,JOL,9459,80,6449,park,100,53
5e18762ae80b8e1495d584d7,1,Sans F A,DIFFICULT,poor,Study1,U,JOL,7958,45,4758,poor,100,54
5e18762ae80b8e1495d584d7,1,Sans F A,CLUTTER,pusher,Study2,U,JOL,6819,4,6438,pusher,100,55
5e18762ae80b8e1495d584d7,1,Sans F A,CRAYON,rate,Study1,U,JOL,8424,11,7009,,0,56
5e18762ae80b8e1495d584d7,1,Sans F A,PUT,roll,Study2,U,JOL_SF,5932,11,3795,,0,57
5e18762ae80b8e1495d584d7,1,Sans F A,MAIN,scar,Study1,U,JOL,14556,27,8033,scar,100,58
5e18762ae80b8e1495d584d7,1,Sans F A,ROAD,scent,Study2,U,JOL_SF,5150,2,9444,,0,59
5e18762ae80b8e1495d584d7,1,Sans F A,WARN,sea,Study1,U,JOL,8174,1,5632,,0,60
5e18762ae80b8e1495d584d7,1,Sans F A,WASTE,sedate,Study2,U,JOL,7718,34,5148,,0,61
5e18762ae80b8e1495d584d7,1,Sans F A,SHELL,shake,Study1,U,JOL_SF,9306,35,5886,shake,100,62
5e18762ae80b8e1495d584d7,1,Sans F A,BAT,shaky,Study1,U,JOL_SF,8573,6,9717,shaky,100,63
5e18762ae80b8e1495d584d7,1,Sans F A,LOAN,sign,Study1,U,JOL_SF,9016,24,6516,sign,100,64
5e18762ae80b8e1495d584d7,1,Sans F A,FUTURE,sincere,Study1,U,JOL,6015,8,3880,,0,65
5e18762ae80b8e1495d584d7,1,Sans F A,BELT,soon,Study2,U,JOL,9349,38,3272,,0,66
5e18762ae80b8e1495d584d7,1,Sans F A,GRIND,stand,Study1,U,JOL,7965,50,7879,,0,67
5e18762ae80b8e1495d584d7,1,Sans F A,GIVE,steak,Study1,U,JOL_SF,8607,22,7821,steak,100,68
5e18762ae80b8e1495d584d7,1,Sans F A,ACCIDENT,strong,Study2,U,JOL_SF,6619,14,3595,,0,69
5e18762ae80b8e1495d584d7,1,Sans F A,RIDDLE,sugar,Study2,U,JOL,8595,73,7058,sugar,100,70
5e18762ae80b8e1495d584d7,1,Sans F A,DIZZY,sweater,Study1,U,JOL_SF,7996,9,5688,,0,71
5e18762ae80b8e1495d584d7,1,Sans F A,PARCEL,throat,Study1,U,JOL_SF,11912,26,8324,,0,72
5e18762ae80b8e1495d584d7,1,Sans F A,ZOO,thumb,Study2,U,JOL,9633,58,6328,thumb,100,73
5e18762ae80b8e1495d584d7,1,Sans F A,LEASE,toil,Study1,U,JOL_SF,7051,2,8596,,0,74
5e18762ae80b8e1495d584d7,1,Sans F A,STOMACH,town,Study2,U,JOL,6484,9,4874,,0,75
5e18762ae80b8e1495d584d7,1,Sans F A,ADD,valley,Study2,U,JOL,6258,65,8003,valley,100,76
5e18762ae80b8e1495d584d7,1,Sans F A,RIPE,verify,Study1,U,JOL,8432,5,4507,,0,77
5e18762ae80b8e1495d584d7,1,Sans F A,MUTE,wave,Study2,U,JOL,5476,8,3986,,0,78
5e18762ae80b8e1495d584d7,1,Sans F A,GUARD,wheel,Study2,U,JOL_SF,7444,51,6257,wheel,100,79
5e18762ae80b8e1495d584d7,1,Sans F A,STRESS,yam,Study1,U,JOL,11725,6,7202,yam,100,80
5eaa97d07eda6e01ec108107,1,Sans F A,CRACKLE,able,Study1,U,JOL,4536,20,2981,pop,0,1
5eaa97d07eda6e01ec108107,1,Sans F A,TUCK,allow,Study2,U,JOL_SF,2997,20,4495,tick,0,2
5eaa97d07eda6e01ec108107,1,Sans F A,LION,art,Study2,U,JOL,2821,20,6823,star,57.14285714,3
5eaa97d07eda6e01ec108107,1,Sans F A,BRONZE,artery,Study2,U,JOL,3598,10,3740,art,66.66666667,4
5eaa97d07eda6e01ec108107,1,Sans F A,FUZZY,bang,Study1,U,JOL,2959,50,15678,fizzy,0,5
5eaa97d07eda6e01ec108107,1,Sans F A,SPELL,bone,Study2,U,JOL_SF,5017,10,4316,word,25,6
5eaa97d07eda6e01ec108107,1,Sans F A,WOULD,cash,Study2,U,JOL_SF,7693,20,8669,could,22.22222222,7
5eaa97d07eda6e01ec108107,1,Sans F A,DEGREE,chair,Study1,U,JOL,2683,20,9533,burn,22.22222222,8
5eaa97d07eda6e01ec108107,1,Sans F A,VEHICLE,charm,Study1,U,JOL_SF,4771,20,4115,broom,40,9
5eaa97d07eda6e01ec108107,1,Sans F A,MIRROR,children,Study1,U,JOL_SF,3978,40,3909,children,100,10
5eaa97d07eda6e01ec108107,1,Sans F A,MOAT,clear,Study1,U,JOL_SF,4129,10,35077,bloat,40,11
5eaa97d07eda6e01ec108107,1,Sans F A,STRETCH,cloth,Study1,U,JOL,5421,70,12083,meat,22.22222222,12
5eaa97d07eda6e01ec108107,1,Sans F A,CAKE,clothes,Study1,U,JOL_SF,4339,40,55180,cool,36.36363636,13
5eaa97d07eda6e01ec108107,1,Sans F A,THICK,contest,Study1,U,JOL,3103,40,6370,thin,18.18181818,14
5eaa97d07eda6e01ec108107,1,Sans F A,READY,corn,Study2,U,JOL,2044,10,2933,start,22.22222222,15
5eaa97d07eda6e01ec108107,1,Sans F A,NULL,cough,Study2,U,JOL,12181,20,2929,nill,0,16
5eaa97d07eda6e01ec108107,1,Sans F A,Business,death,Study2,U,JOL,4898,10,2471,card,22.22222222,17
5eaa97d07eda6e01ec108107,1,Sans F A,SIGHT,debate,Study2,U,JOL,2472,30,3772,short,18.18181818,18
5eaa97d07eda6e01ec108107,1,Sans F A,SACKING,dietary,Study2,U,JOL,2908,20,4906,staff,33.33333333,19
5eaa97d07eda6e01ec108107,1,Sans F A,FLOOR,discover,Study2,U,JOL_SF,2185,20,4308,door,50,20
5eaa97d07eda6e01ec108107,1,Sans F A,INFLATE,disgust,Study1,U,JOL,3408,10,7447,blow,0,21
5eaa97d07eda6e01ec108107,1,Sans F A,MAZE,election,Study1,U,JOL,3947,30,5799,puzzle,28.57142857,22
5eaa97d07eda6e01ec108107,1,Sans F A,LISTEN,fiction,Study1,U,JOL_SF,3170,30,3397,sound,33.33333333,23
5eaa97d07eda6e01ec108107,1,Sans F A,HAND,fix,Study2,U,JOL,9880,40,2748,short,0,24
5eaa97d07eda6e01ec108107,1,Sans F A,SWING,fog,Study2,U,JOL,2344,20,4678,saw,0,25
5eaa97d07eda6e01ec108107,1,Sans F A,DETECT,free,Study2,U,JOL,3391,20,4384,stop,0,26
5eaa97d07eda6e01ec108107,1,Sans F A,RESIST,glue,Study1,U,JOL_SF,4458,50,3267,pull,25,27
5eaa97d07eda6e01ec108107,1,Sans F A,CAR,happy,Study2,U,JOL,2772,30,3603,bike,0,28
5eaa97d07eda6e01ec108107,1,Sans F A,NUMBER,hard,Study1,U,JOL,3230,60,5816,letter,20,29
5eaa97d07eda6e01ec108107,1,Sans F A,FLOAT,harmony,Study2,U,JOL_SF,2947,10,43920,swim,18.18181818,30
5eaa97d07eda6e01ec108107,1,Sans F A,NAME,hate,Study1,U,JOL_SF,6276,60,10888,tag,28.57142857,31
5eaa97d07eda6e01ec108107,1,Sans F A,SICK,hide,Study2,U,JOL,2593,10,9836,dog,28.57142857,32
5eaa97d07eda6e01ec108107,1,Sans F A,BROAD,infect,Study1,U,JOL_SF,4581,50,15779,stretch,15.38461538,33
5eaa97d07eda6e01ec108107,1,Sans F A,KEYS,joke,Study1,U,JOL,3585,40,4462,tone,50,34
5eaa97d07eda6e01ec108107,1,Sans F A,VASE,king,Study2,U,JOL_SF,2320,10,3781,flower,0,35
5eaa97d07eda6e01ec108107,1,Sans F A,SLIM,know,Study2,U,JOL,1994,10,9233,thick,22.22222222,36
5eaa97d07eda6e01ec108107,1,Sans F A,SYSTEM,lick,Study2,U,JOL,2324,10,9294,computer,16.66666667,37
5eaa97d07eda6e01ec108107,1,Sans F A,DONKEY,lush,Study1,U,JOL,4540,30,52138,mat,0,38
5eaa97d07eda6e01ec108107,1,Sans F A,POSITION,machine,Study2,U,JOL,2862,10,7054,back,36.36363636,39
5eaa97d07eda6e01ec108107,1,Sans F A,JUSTICE,maroon,Study1,U,JOL_SF,5210,10,9005,system,16.66666667,40
5eaa97d07eda6e01ec108107,1,Sans F A,PET,moon,Study1,U,JOL,4433,40,45633,shop,25,41
5eaa97d07eda6e01ec108107,1,Sans F A,TEMPERATURE,morning,Study1,U,JOL,4053,60,12714,sea,0,42
5eaa97d07eda6e01ec108107,1,Sans F A,JELLY,naughty,Study2,U,JOL_SF,3387,10,4767,fish,18.18181818,43
5eaa97d07eda6e01ec108107,1,Sans F A,ROSE,neglect,Study1,U,JOL,3613,30,5988,blossom,14.28571429,44
5eaa97d07eda6e01ec108107,1,Sans F A,DESIRE,noise,Study2,U,JOL_SF,2887,20,4369,gold,22.22222222,45
5eaa97d07eda6e01ec108107,1,Sans F A,PUFF,number,Study2,U,JOL_SF,3925,20,7507,frozen,16.66666667,46
5eaa97d07eda6e01ec108107,1,Sans F A,PUFF,number,Study2,U,JOL_SF,2896,10,3301,frozen,16.66666667,47
5eaa97d07eda6e01ec108107,1,Sans F A,MEAT,obtain,Study1,U,JOL_SF,4650,10,7391,gravy,18.18181818,48
5eaa97d07eda6e01ec108107,1,Sans F A,SMOOTH,omit,Study2,U,JOL_SF,2836,10,2632,talker,20,49
5eaa97d07eda6e01ec108107,1,Sans F A,LAKE,opinion,Study2,U,JOL_SF,1918,20,5733,swim,18.18181818,50
5eaa97d07eda6e01ec108107,1,Sans F A,BOTH,ounce,Study1,U,JOL,3654,20,4569,strike,18.18181818,51
5eaa97d07eda6e01ec108107,1,Sans F A,TAX,owl,Study1,U,JOL_SF,3973,10,3465,revenue,0,52
5eaa97d07eda6e01ec108107,1,Sans F A,HUNGRY,park,Study2,U,JOL_SF,2361,10,17837,maze,25,53
5eaa97d07eda6e01ec108107,1,Sans F A,DIFFICULT,poor,Study1,U,JOL_SF,4209,20,33774,task,0,54
5eaa97d07eda6e01ec108107,1,Sans F A,CLUTTER,pusher,Study2,U,JOL_SF,3403,20,2699,bin,0,55
5eaa97d07eda6e01ec108107,1,Sans F A,CRAYON,rate,Study1,U,JOL,6163,20,4624,colour,20,56
5eaa97d07eda6e01ec108107,1,Sans F A,PUT,roll,Study2,U,JOL_SF,1786,20,5983,chill,44.44444444,57
5eaa97d07eda6e01ec108107,1,Sans F A,MAIN,scar,Study1,U,JOL,3490,30,5013,meal,25,58
5eaa97d07eda6e01ec108107,1,Sans F A,ROAD,scent,Study2,U,JOL_SF,2517,20,2810,sign,44.44444444,59
5eaa97d07eda6e01ec108107,1,Sans F A,WARN,sea,Study1,U,JOL_SF,5867,60,13043,sign,28.57142857,60
5eaa97d07eda6e01ec108107,1,Sans F A,WASTE,sedate,Study2,U,JOL,2832,10,5963,bin,0,61
5eaa97d07eda6e01ec108107,1,Sans F A,SHELL,shake,Study1,U,JOL_SF,4260,50,3349,sea,50,62
5eaa97d07eda6e01ec108107,1,Sans F A,BAT,shaky,Study1,U,JOL_SF,3415,50,6953,mobile,0,63
5eaa97d07eda6e01ec108107,1,Sans F A,LOAN,sign,Study1,U,JOL_SF,4023,60,3663,tax,0,64
5eaa97d07eda6e01ec108107,1,Sans F A,FUTURE,sincere,Study1,U,JOL,4498,20,57471,past,18.18181818,65
5eaa97d07eda6e01ec108107,1,Sans F A,BELT,soon,Study2,U,JOL_SF,2815,20,22237,slim,25,66
5eaa97d07eda6e01ec108107,1,Sans F A,GRIND,stand,Study1,U,JOL,9306,20,4687,gears,20,67
5eaa97d07eda6e01ec108107,1,Sans F A,GIVE,steak,Study1,U,JOL_SF,3993,20,11258,receive,16.66666667,68
5eaa97d07eda6e01ec108107,1,Sans F A,ACCIDENT,strong,Study2,U,JOL_SF,2796,20,8031,car,22.22222222,69
