"Cues","SUBTLWF_1","Lg10WF_1","SUBTLCD_1","Lg10CD_1","Targets","SUBTLWF_2","Lg10WF_2","SUBTLCD_2","Lg10CD_2"
"ripe",4.18,2.3304,2.18,2.2648,"verify",4.86,2.3962,2.5,2.3243
"donkey",5.35,2.4378,1.93,2.2122,"lush",1.18,1.7853,0.6,1.7076
"grind",3.73,2.281,1.98,2.2227,"stand",226.2,4.0621,58.62,3.6918
"clutter",0.94,1.6902,0.41,1.5441,"pusher                   ",NA,NA,NA,NA
"sacking",0.16,0.9542,0.08,0.9031,"dietary                  ",NA,NA,NA,NA
"hungry",77.08,3.5946,29.1,3.3877,"park",72.12,3.5657,22.35,3.2732
"woman",434.63,4.3457,70.64,3.7728,"lift",34.14,3.241,15.07,3.1021
"belt",24.35,3.0945,9.99,2.9238,"soon",257.65,4.1186,66.8,3.7485
"floor",100.63,3.7104,32.57,3.4366,"discover",12.04,2.7889,6.34,2.7267
"business",321,4.2141,61.83,3.7149,"death",216.69,4.0434,51,3.6313
"sight",45.31,3.364,19.99,3.2248,"debate",9.29,2.6767,3.31,2.4456
"bronze",2.8,2.1584,1.18,2,"artery                   ",NA,NA,NA,NA
"hand",279.65,4.1542,66.31,3.7453,"fix",86.78,3.6461,30.71,3.4111
"position",72.08,3.5655,26.12,3.3408,"machine",70.25,3.5544,22.41,3.2744
"car",483.06,4.3916,61.44,3.7122,"happy",333.2,4.2303,65.94,3.7429
"tuck",7.96,2.6096,3.12,2.42,"allow                    ",NA,NA,NA,NA
"lion",15.35,2.8943,3.91,2.5172,"art",70.8,3.5577,19.09,3.2047
"accident",81.29,3.6177,25.99,3.3387,"strong",86.86,3.6465,32,3.4289
"riddle",4.53,2.3655,1.35,2.0569,"sugar",37.76,3.2849,13.66,3.0596
"add",33.06,3.2271,15.84,3.1239,"valley",NA,NA,NA,NA
"would",1767.88,4.955,98.57,3.9175,"cash                     ",NA,NA,NA,NA
"sick",165.43,3.9262,46.1,3.5875,"hide                     ",NA,NA,NA,NA
"vase",3.84,2.2945,1.44,2.0864,"king                     ",NA,NA,NA,NA
"null",0.53,1.4472,0.21,1.2788,"cough",8.78,2.6522,3.98,2.525
"smooth",18.27,2.9699,8.46,2.8519,"omit",0.27,1.1761,0.15,1.1461
"ready",387.8,4.2962,76.28,3.8061,"corn",14.22,2.8609,4.8,2.6064
"stomach",33.82,3.237,14.53,3.0864,"town",247.92,4.1019,49.07,3.6146
"lake",36,3.2641,9.56,2.9047,"opinion",42,3.331,17.05,3.1556
"float",7.47,2.5821,3.67,2.49,"harmony",NA,NA,NA,NA
"detect",5.12,2.4183,2.74,2.3636,"free",177.53,3.9569,51,3.6313
"put",828.45,4.6258,93.47,3.8944,"roll",63.27,3.5089,22.82,3.2822
"slim",NA,NA,NA,NA,"know",5721.18,5.4651,99.43,3.9212
"waste",53.25,3.4341,23.37,3.2925,"sedate",1.25,1.8129,0.69,1.7709
"road",111.94,3.7566,32.98,3.442,"scent",5.96,2.4843,2.81,2.3747
"system",91.51,3.6691,26.7,3.3504,"lick",10.96,2.7482,4.7,2.5966
"zoo",13.65,2.8432,4.6,2.5877,"thumb",11.82,2.781,4.82,2.6075
"desire",20.27,3.0149,8.74,2.8657,"noise",34.88,3.2504,14.93,3.098
"guard",58.2,3.4726,18.71,3.1959,"wheel",27.06,3.1402,10.15,2.9304
"puff",4.45,2.3579,2,2.2279,"number",240.94,4.0895,54.15,3.6573
"jelly",7.12,2.5611,2.86,2.382,"naughty",10.25,2.7193,4.59,2.5866
"mute",2.49,2.1072,1.12,1.9777,"wave",21.25,3.0354,8.11,2.8331
"spell",36.65,3.2718,10.54,2.9469,"bone",26.06,3.1239,10.19,2.9325
"swing",25.98,3.1225,10.22,2.9335,"fog",9.45,2.6839,2.56,2.3345
